电视节目,#genre#
都市剧场HD,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000412
动漫秀场HD,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000413
游戏风云HD,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000414
魅力足球HD,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000415
金色频道HD,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000416
法治天地HD,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000417
生活时尚HD,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000418
CQTV移动,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000249
北京卫视4K,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000425
广东卫视4k,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000432
深圳卫视4k,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000431
新疆卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000433
西藏卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000434
兵团卫视高清,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000435
点播,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000345
电影1,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000147
电影10,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000310
电影11,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000313
电影12,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000312
电影2,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000154
电影3,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000156
电影4,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000158
电影5,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000148
电影6,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000311
电影7,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000316
电影8,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000320
电影9,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000330
电视剧1,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000157
电视剧2,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000155
电视剧3,rtsp://123.147.112.17:8089/04000001/01000000004000000000000000000314
